Living things;जीवजाल
				Misc Adverbs;समिश्र क्रिया विशेषण
			Conjunction;समुच्चयबोधक
			Indefinite pronouns;अनिश्चित सर्वनाम
			Nouns;नाम, संज्ञा
				Abstract nouns;भाववाचक संज्ञा
				Collective noun;समूहवाचक संज्ञा
				Common nouns;सामान्य नाम
				Community nouns;समुदाय संज्ञा
				Countable nouns;गणनीय संज्ञा
				Countable nouns for aperture;खांचि संबंधित उतरां
				Mass nouns or uncountable nouns;अगणित नाम पद
				Nouns based on form;रूप आधारून उतरां
				Nouns denoting portion, share etc.;अंशु वा वांटो संबंधित उतरां
				Nouns for punishment;ताडन संबंधित उतरां
				Nouns related to dimension and state;परिमाण संबंधी नाम
				Nouns shared with other indian languages with konkanised spellings;इतर भासेंचे संग उपयुक्त संज्ञा
				Occupational nouns;उपजीवन संज्ञा
				Root word;धातु
				Sensory nouns;इंद्रिय संबंधी नाम
					Sensory nouns related to sight or appearance;दृष्टि,दिष्टि,दृश्य,देखावु संबंधी नाम
					Sensory nouns related to smell;गंध संबंधी नाम
					Sensory nouns related to sound;सोवदु,शब्द संबंधी नाम
					Sensory nouns related to taste;स्वाद/सुवादु संबंधी नाम
					Sensory nouns related to touch;स्पर्श संबंधी नाम
				Special trait nouns;विशेश व्यक्तित्व संज्ञा
				Trait noun;लक्षणात्मक संज्ञा
				Uncountable nouns;अगणित संज्ञा
				Verbal noun;क्रियार्थक संज्ञा
			Preposition;संबंदबोदक
			Pronouns;सर्वनाम
				Personal Pronouns;व्यक्तिवाचक सर्वनाम
					Subjective Pronouns;विषय सर्वनाम
					Objective Pronouns;वस्तु सर्वनाम
				Demonstrative Pronouns;निश्चयवाचक सर्वनाम 
				Indefinite Pronouns;अनिश्चयवाचक सर्वनाम
				Compound Personal Pronoun;संयुक्त व्यक्तिवाचक सर्वनाम
				Reflexive Pronouns 1;निजवाचक सर्वनाम 1
				Reflexive Pronouns 2;निजवाचक सर्वनाम 2
				Intensive Pronouns;अवधारक सर्वनाम
				Possessive Pronouns;स्वत्वबोधक सर्वनाम
					Possessive Pronouns (Absolute 1);परम सम्बन्धसूचक सर्वनाम 1
					Possessive Pronouns (Absolute 2);परम सम्बन्धसूचक सर्वनाम 2	
					Possessive Pronouns (Adjective 1);सम्बन्धसूचक सर्वनाम 1
